,selected,transfers_balance,transfers_in,transfers_out,ict_index,value,label
19,722859,4915,38783,33868,2.7,50,0
20,719531,-5667,20995,26662,2.6,50,0
21,753273,27868,37808,9940,0.9,50,0
22,591661,-158654,1266,159920,0.0,50,0
23,565889,-26979,6244,33223,2.3,50,0
24,560005,-10387,4804,15191,2.1,50,0
0,42909,0,0,0,4.5,55,0
1,58116,670,9879,9209,2.3,55,0
2,53341,-8902,3582,12484,1.0,55,0
3,53027,-3370,3893,7263,0.1,55,0
4,46661,-7416,1557,8973,0.8,54,-1
5,44236,-3447,953,4400,2.7,54,0
6,42146,-2737,789,3526,0.0,54,0
7,38929,-3460,489,3949,0.0,53,-1
8,36603,-2603,350,2953,1.3,53,0
9,36301,-666,555,1221,1.8,53,0
10,35154,-1294,355,1649,3.1,53,0
11,34460,-946,503,1449,0.2,52,-1
12,32282,-2201,150,2351,0.0,52,0
13,30646,-1675,25,1700,0.0,52,0
14,30003,-787,209,996,6.3,52,0
15,32591,2157,2661,504,3.2,52,0
16,33959,1156,2354,1198,1.2,52,0
17,36440,617,2800,2183,4.4,52,0
18,34262,-685,806,1491,3.2,52,0
19,34572,-260,1396,1656,5.9,52,0
20,34338,-383,786,1169,3.0,52,0
21,35561,884,1796,912,3.3,52,0
22,34750,-1005,569,1574,5.5,52,0
23,34072,-928,609,1537,4.6,52,0
24,33998,-342,477,819,3.5,52,0
0,769,0,0,0,0.0,45,0
1,740,-153,38,191,0.0,45,0
2,705,-83,69,152,0.0,45,0
3,667,-55,31,86,0.0,45,0
4,636,-50,45,95,0.0,45,0
5,630,-19,53,72,0.0,44,-1
6,608,-33,18,51,0.0,44,0
7,598,-16,17,33,0.0,44,0
8,582,-21,24,45,0.0,44,0
9,574,-13,11,24,0.0,44,0
10,808,188,208,20,0.0,44,0
11,950,92,170,78,0.0,44,0
12,989,-4,69,73,0.0,44,0
13,1010,-13,87,100,0.0,44,0
14,1047,-26,88,114,1.4,44,0
15,3105,1883,2047,164,4.1,44,0
16,11068,7658,8505,847,1.9,44,0
17,42047,12688,17856,5168,0.0,44,0
18,15566,-6244,1569,7813,0.0,44,0
19,11536,-5695,247,5942,0.0,44,0
20,8524,-3070,50,3120,0.0,44,0
21,6947,-1628,33,1661,0.0,44,0
22,6070,-942,93,1035,0.0,44,0
23,5672,-473,259,732,0.0,44,0
24,5384,-395,136,531,1.0,44,0
0,240975,0,0,0,4.0,50,0
1,326713,23037,54450,31413,1.7,50,0
2,323391,-19029,39377,58406,1.9,50,0
3,326848,-9896,23203,33099,7.5,50,0
4,403783,55973,95561,39588,1.3,50,0
5,430008,21627,47560,25933,3.2,50,0
6,426299,-6360,21355,27715,3.7,50,0
7,608923,158377,170047,11670,3.5,51,1
8,621663,18737,54815,36078,3.8,51,0
9,750799,112923,127906,14983,3.4,51,0
10,703566,-33015,33446,66461,3.9,52,1
11,698336,-20013,29204,49217,6.8,52,0
12,494094,-198316,1986,200302,0.0,52,0
13,440896,-59084,4476,63560,0.0,51,-1
14,378127,-62919,4095,67014,5.4,51,0
15,411670,28672,41597,12925,3.2,51,0
16,480458,65056,80327,15271,2.8,51,0
17,471562,-20250,37766,58016,5.3,51,0
18,408658,-39404,11754,51158,0.0,51,0
19,385321,-39659,7927,47586,2.4,51,0
20,358635,-27533,3551,31084,4.8,51,0
21,384060,22723,29707,6984,3.5,51,0
22,373563,-11160,10297,21457,4.1,51,0
23,355853,-17381,8231,25612,9.0,51,0
24,365269,5551,17881,12330,1.0,51,0
0,1043,0,0,0,0.0,45,0
1,1100,-177,75,252,0.0,45,0
2,1040,-117,83,200,0.0,45,0
3,989,-94,49,143,0.0,45,0
4,951,-62,46,108,0.0,45,0
5,935,-30,30,60,0.0,45,0
6,921,-35,27,62,0.0,45,0
7,902,-29,26,55,0.0,45,0
8,902,-19,33,52,0.0,45,0
9,897,-22,14,36,0.0,45,0
10,943,15,57,42,0.0,45,0
11,1167,97,156,59,0.0,45,0
12,1254,23,88,65,0.0,45,0
13,1343,30,96,66,0.0,45,0
14,1525,42,162,120,0.0,45,0
15,1649,66,157,91,0.0,45,0
16,1787,53,192,139,0.0,45,0
17,2344,82,385,303,0.0,45,0
18,2085,-12,141,153,0.0,45,0
19,2211,2,184,182,0.0,45,0
20,2242,-33,89,122,0.0,45,0
21,2358,22,121,99,0.0,45,0
22,2479,19,130,111,0.0,45,0
23,2550,-36,143,179,0.0,45,0
24,2641,-16,103,119,0.0,45,0
0,71148,0,0,0,2.2,45,0
1,148466,46375,72351,25976,1.4,45,0
2,171240,14874,51839,36965,3.2,45,0
3,189724,10811,26789,15978,0.0,45,0
4,164456,-24136,7257,31393,0.0,45,0
5,123830,-40959,648,41607,0.0,45,0
6,92334,-33356,53,33409,1.7,45,0
7,95909,1275,9205,7930,1.9,44,-1
8,96088,-142,5576,5718,2.0,44,0
9,102685,5101,7708,2607,1.0,44,0
10,96512,-5120,2600,7720,1.9,44,0
11,99927,1564,6247,4683,3.2,44,0
12,97987,-1764,3292,5056,2.2,44,0
13,97938,-497,4861,5358,0.8,44,0
14,92791,-5343,4960,10303,5.0,44,0
15,116761,22703,26197,3494,2.3,44,0
16,218164,98931,106244,7313,7.2,44,0
17,508703,117135,150637,33502,4.6,45,1
18,325639,12377,53040,40663,2.2,45,0
19,388543,40486,74592,34106,2.3,45,0
20,395570,5438,37996,32558,2.6,45,0
21,481819,81425,89716,8291,2.0,45,0
22,457304,-24031,18607,42638,4.1,46,1
23,412288,-41326,12154,53480,0.2,46,0
24,382065,-35845,7332,43177,3.8,45,-1
0,686005,0,0,0,1.7,55,0
1,777005,659,56372,55713,0.0,55,0
2,518268,-248129,7001,255130,2.9,55,0
3,493590,-46465,10701,57166,3.7,54,-1
4,409553,-84040,6985,91025,2.1,54,0
5,400394,-17548,7930,25478,4.8,54,0
6,389707,-13105,6304,19409,3.3,54,0
7,399389,5325,16322,10997,5.6,54,0
8,385313,-13884,7457,21341,3.0,54,0
9,385015,-2524,7079,9603,3.6,54,0
10,362972,-20736,3692,24428,4.0,54,0
11,355156,-11665,5817,17482,6.6,54,0
12,340689,-14317,2669,16986,1.9,54,0
13,327723,-13648,2480,16128,8.1,53,-1
14,303802,-24036,2649,26685,2.4,53,0
15,329181,22400,27275,4875,4.4,53,0
16,374600,42695,50315,7620,15.0,53,0
17,1461705,380624,413810,33186,0.0,54,1
18,588058,-124876,24855,149731,3.8,54,0
19,642438,13678,73299,59621,0.0,54,0
20,561453,-78339,5800,84139,0.0,54,0
21,477165,-85317,2786,88103,0.0,53,-1
22,385683,-92757,589,93346,0.0,53,0
23,334286,-50706,663,51369,0.0,52,-1
24,327660,-9799,3957,13756,6.0,52,0
0,132947,0,0,0,2.3,80,0
1,95969,-46967,2864,49831,1.1,79,-1
2,69956,-31642,1751,33393,0.1,78,-1
3,63489,-10151,2000,12151,5.5,78,0
4,65683,-2205,5320,7525,3.0,77,-1
5,66280,-1158,4158,5316,0.1,77,0
6,64070,-3323,2541,5864,0.0,77,0
7,60944,-3964,1918,5882,2.5,77,0
8,59165,-3125,1315,4440,1.6,76,-1
9,53233,-6046,250,6296,0.0,76,0
10,49800,-3578,106,3684,0.0,76,0
11,48239,-1711,109,1820,0.0,76,0
12,49173,713,1419,706,4.7,76,0
13,49800,371,1131,760,6.3,76,0
14,51388,838,2151,1313,0.7,76,0
15,51851,133,1709,1576,0.0,76,0
16,51438,-829,1372,2201,0.0,76,0
17,52028,-1069,1546,2615,0.7,76,0
18,50204,-1016,307,1323,0.0,76,0
19,49777,-984,558,1542,7.7,76,0
20,50734,581,1227,646,8.4,76,0
21,56493,4986,6172,1186,10.2,76,0
22,66332,8545,11293,2748,5.8,76,0
23,64506,-2335,4321,6656,0.0,76,0
24,59644,-5384,966,6350,2.8,76,0
0,5478,0,0,0,0.0,55,0
1,5332,-1235,225,1460,0.0,54,-1
2,4712,-913,193,1106,0.0,54,0
3,4571,-370,242,612,0.0,53,-1
4,3906,-707,60,767,0.0,53,0
5,3655,-317,43,360,0.0,52,-1
6,3683,-71,119,190,0.0,52,0
7,3627,-103,121,224,0.0,52,0
8,3376,-261,16,277,0.5,52,0
9,3578,141,235,94,1.9,52,0
10,3576,-39,137,176,0.0,52,0
11,3498,-97,61,158,0.0,52,0
12,3397,-110,9,119,0.0,52,0
13,3317,-88,9,97,0.0,52,0
14,3346,-24,82,106,0.0,51,-1
15,3321,-42,39,81,0.0,51,0
16,3346,-20,58,78,0.0,51,0
17,3375,-72,83,155,0.0,51,0
18,3329,6,62,56,0.0,51,0
19,3390,10,107,97,0.0,51,0
20,3370,-52,23,75,0.0,51,0
21,3385,-20,38,58,0.0,51,0
22,3404,-21,34,55,0.0,51,0
23,3410,-45,43,88,0.0,51,0
24,3392,-41,30,71,0.0,51,0
0,112190,0,0,0,0.0,60,0
1,83645,-34641,3801,38442,5.5,59,-1
2,80665,-11025,11733,22758,0.1,59,0
3,72091,-11704,6127,17831,2.7,58,-1
